reference_qualification,candidate,verifier,classifier,thresholds_changed,id,metric,numerator,denominator,unit,value,target,status,cohort,evidence,next
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q01,All document states explained,38,38,count,1.0,100%,PASS,natural,baseline/document-inventory.json,Retain seven actionable body-acquisition follow-ups.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q02,Readable supported materials parsed,31,31,count,1.0,>=95%,PASS,natural,baseline/document-inventory.json,"Completion means parsed, not source-correct. All-inventory completion is separately 31/38; seven files contain no usable body."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q03,Complete original regions including structure/relations,64,275,count,0.23272727272727273,>=99%,FAIL,natural,diagnostics/strict-source-coverage-spacing.json,"Repair missing relation graph, footer merges, heading structure and literal cell errors; remeasure the same source-first regions."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q04,CER,17,12860,character edits / characters,0.0013219284603421461,<=1%,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,Retain full literal denominator including spacing artifacts.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q05,WER,18,2011,word edits / words,0.008950770760815515,report,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,Report alongside CER; no adopted WER cutoff.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q06,Critical token occurrences exact,211,211,count,1.0,100%,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,"211 occurrences in one exposed source, not independent documents."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q07,Body table cell text exact,123,125,count,0.984,>=98%,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,Retain two remaining cross-line/hyphenation defects; do not normalize the frozen reference. Whole-table and relationship targets still fail.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q08,Body table row/column/merge positions,125,125,count,1.0,>=98%,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,Footer-grid errors remain in Q03 and whole-page results; this denominator is the predefined 125 body cells.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q09,Reading-order pairs,20,20,count,1.0,100%,PASS,natural,diagnostics/candidate-spacing-method6/aggregate.json,Broader column/order cases remain unmeasured.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q10,Explicit title/footnote/continuation relations,0,12,count,0.0,100%,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,Automatic relation reconstruction must be measured separately from a successful manual repair.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q11,Whole pages without substantive fidelity errors,0,8,count,0.0,report,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,"Combine content, grid, heading and relation results; average CER does not release a page."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-04,original-page-comparison/6,literal-requirements/5,False,Q12,Complete logical tables,0,3,count,0.0,report,FAIL,natural,diagnostics/candidate-spacing-method6/aggregate.json,"Retain the full criterion, Appendix VI and form scope."
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q13,B precision,41,41,count,1.0,>=95%,PASS,natural,b-diagnostic/candidate-method5-final.json,Frozen complete-original initial 60 unchanged; separate negative supplement correct. Combined decisive 54/61. Raw A bibliography has a damaged URL and remains undetermined; actual contact proposal is context. No A acceptance or safe release inferred.
"development diagnostic / Agent checked; exposed, not independent human or held-out acceptance",candidate-rerun-03,original-page-comparison/6,literal-requirements/5,False,Q14,"B recall, including abstained positives",41,41,count,1.0,>=90%,PASS,natural,b-diagnostic/candidate-method5-final.json,Frozen complete-original initial 60 unchanged; separate negative supplement correct. Combined decisive 54/61. Raw A bibliography has a damaged URL and remains undetermined; actual contact proposal is context. No A acceptance or safe release inferred.
